period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-10T02,0.01%,61.37%,0.36%,10.59%,27.66%,15.63,17.62
2023-01-10T03,0.01%,61.06%,0.36%,10.69%,27.88%,15.55,17.53
2023-01-10T04,0.01%,60.05%,0.37%,10.92%,28.64%,15.40,17.40
2023-01-10T05,0.01%,61.93%,0.38%,11.17%,26.51%,15.86,17.91
2023-01-10T06,0.02%,62.03%,0.38%,11.47%,26.10%,15.88,17.94
2023-01-10T07,0.02%,59.61%,0.40%,11.89%,28.09%,15.54,17.62
2023-01-10T08,0.02%,59.44%,0.43%,12.77%,27.34%,15.74,17.92
2023-01-10T09,0.02%,61.44%,0.45%,13.41%,24.69%,16.37,18.67
2023-01-10T10,0.02%,60.69%,0.50%,14.37%,24.42%,16.58,19.03
2023-01-10T11,0.02%,59.79%,0.50%,14.50%,25.19%,16.38,18.81
2023-01-10T12,0.02%,54.75%,0.49%,14.11%,30.63%,15.33,17.69
2023-01-10T13,0.02%,55.20%,0.47%,13.82%,30.49%,15.19,17.46
2023-01-10T14,0.02%,55.87%,0.44%,12.66%,31.00%,15.15,17.36
2023-01-10T15,0.02%,56.03%,0.40%,11.47%,32.08%,14.80,16.85
2023-01-10T16,0.01%,54.02%,0.37%,10.77%,34.82%,14.19,16.13
2023-01-10T17,0.01%,47.25%,0.34%,9.83%,42.57%,12.56,14.32
2023-01-10T18,0.01%,42.79%,0.33%,9.53%,47.34%,11.52,13.18
2023-01-10T19,0.01%,39.75%,0.34%,9.69%,50.21%,10.94,12.57
2023-01-10T20,0.03%,38.90%,0.34%,9.66%,51.07%,10.79,12.42
2023-01-10T21,0.02%,39.07%,0.34%,9.44%,51.14%,10.80,12.42
2023-01-10T22,0.02%,39.81%,0.29%,9.57%,50.31%,10.61,12.10
2023-01-10T23,0.01%,38.43%,0.14%,9.72%,51.70%,9.10,10.06
2023-01-11T00,0.02%,43.16%,-0.01%,10.31%,46.53%,8.82,9.31
2023-01-11T01,0.02%,52.91%,0.02%,10.79%,36.26%,11.10,11.83
2023-01-11T02,0.02%,54.11%,0.16%,10.23%,35.47%,12.52,13.75
2023-01-11T03,0.02%,56.21%,0.33%,10.25%,33.19%,14.32,16.15
2023-01-11T04,0.03%,59.18%,0.36%,10.38%,30.04%,15.20,17.18
2023-01-11T05,0.03%,60.63%,0.38%,10.67%,28.29%,15.62,17.66
2023-01-11T06,0.02%,60.10%,0.39%,11.16%,28.32%,15.61,17.69
2023-01-11T07,0.03%,60.59%,0.41%,11.92%,27.05%,15.88,18.04
2023-01-11T08,0.03%,61.81%,0.43%,12.83%,24.89%,16.30,18.54
2023-01-11T09,0.03%,61.48%,0.47%,13.33%,24.69%,16.51,18.87
2023-01-11T10,0.04%,60.06%,0.50%,14.24%,25.16%,16.48,18.93
2023-01-11T11,0.04%,63.14%,0.52%,14.63%,21.66%,17.28,19.83
2023-01-11T12,0.04%,64.26%,0.52%,14.69%,20.49%,17.47,20.02
2023-01-11T13,0.04%,64.22%,0.49%,13.90%,21.35%,17.28,19.76
2023-01-11T14,0.03%,64.77%,0.45%,12.53%,22.23%,17.00,19.32
2023-01-11T15,0.02%,63.54%,0.40%,11.43%,24.61%,16.39,18.54
2023-01-11T16,0.01%,60.35%,0.38%,11.03%,28.23%,15.53,17.56
2023-01-11T17,0.01%,52.50%,0.38%,10.46%,36.64%,13.90,15.84
2023-01-11T18,0.02%,49.72%,0.36%,10.15%,39.74%,13.24,15.10
2023-01-11T19,0.02%,47.10%,0.37%,10.38%,42.13%,12.76,14.61
2023-01-11T20,0.02%,48.83%,0.39%,10.86%,39.90%,13.22,15.14
2023-01-11T21,0.02%,49.13%,0.39%,10.96%,39.50%,13.31,15.25
2023-01-11T22,0.03%,49.42%,0.39%,11.18%,38.99%,13.35,15.28
2023-01-11T23,0.03%,52.09%,0.39%,11.22%,36.27%,13.92,15.89
2023-01-12T00,0.03%,56.61%,0.39%,11.37%,31.60%,14.86,16.89
2023-01-12T01,0.03%,62.95%,0.38%,11.12%,25.52%,16.06,18.12
2023-01-12T02,0.02%,61.06%,0.35%,10.56%,28.00%,15.48,17.43
2023-01-12T03,0.02%,61.33%,0.36%,10.53%,27.75%,15.60,17.59
2023-01-12T04,0.02%,62.17%,0.37%,10.90%,26.54%,15.88,17.92
2023-01-12T05,0.02%,62.31%,0.39%,11.19%,26.09%,16.07,18.18
2023-01-12T06,0.02%,64.64%,0.40%,11.59%,23.35%,16.62,18.79
2023-01-12T07,0.02%,63.63%,0.41%,12.24%,23.70%,16.51,18.70
2023-01-12T08,0.02%,63.69%,0.46%,13.32%,22.51%,16.86,19.20
2023-01-12T09,0.02%,64.91%,0.49%,14.08%,20.50%,17.37,19.84
2023-01-12T10,0.03%,63.80%,0.52%,15.05%,20.60%,17.42,19.99
2023-01-12T11,0.03%,65.00%,0.53%,15.34%,19.09%,17.75,20.37
2023-01-12T12,0.03%,67.20%,0.53%,15.09%,17.14%,18.19,20.83
2023-01-12T13,0.03%,66.58%,0.50%,14.52%,18.36%,17.85,20.39
2023-01-12T14,0.03%,62.89%,0.46%,13.32%,23.29%,16.75,19.10
2023-01-12T15,0.03%,58.22%,0.42%,12.04%,29.29%,15.42,17.57
2023-01-12T16,0.03%,53.93%,0.40%,11.67%,33.97%,14.43,16.48
2023-01-12T17,0.02%,46.11%,0.39%,11.25%,42.23%,12.73,14.65
2023-01-12T18,0.02%,41.59%,0.39%,11.09%,46.91%,11.75,13.60
2023-01-12T19,0.02%,41.37%,0.39%,11.15%,47.07%,11.68,13.51
2023-01-12T20,0.02%,41.15%,0.38%,10.97%,47.48%,11.55,13.34
2023-01-12T21,0.02%,42.82%,0.38%,11.18%,45.59%,11.95,13.79
2023-01-12T22,0.03%,43.42%,0.41%,11.81%,44.34%,12.29,14.22
2023-01-12T23,0.03%,41.28%,0.43%,12.40%,45.86%,12.06,14.05
2023-01-13T00,0.03%,52.17%,0.45%,12.78%,34.57%,14.42,16.59
2023-01-13T01,0.02%,58.12%,0.42%,12.30%,29.14%,15.43,17.58
2023-01-13T02,0.02%,59.84%,0.42%,12.19%,27.53%,15.79,17.97
2023-01-13T03,0.02%,59.09%,0.43%,12.23%,28.23%,15.69,17.89
2023-01-13T04,0.02%,59.22%,0.42%,12.09%,28.24%,15.64,17.80
