period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-10-31T04,0.00%,69.18%,-0.01%,4.64%,26.19%,14.24,15.07
2023-10-31T05,0.00%,69.73%,-0.01%,4.70%,25.58%,14.35,15.19
2023-10-31T06,0.00%,74.50%,0.00%,5.14%,20.36%,15.37,16.28
2023-10-31T07,0.00%,76.26%,-0.01%,5.59%,18.15%,15.73,16.67
2023-10-31T08,0.00%,77.08%,-0.01%,5.97%,16.96%,15.90,16.84
2023-10-31T09,0.00%,78.92%,-0.01%,6.21%,14.87%,16.28,17.24
2023-10-31T10,0.00%,80.08%,-0.01%,6.26%,13.67%,16.51,17.50
2023-10-31T11,0.00%,82.29%,-0.01%,6.19%,11.53%,16.97,17.98
2023-10-31T12,0.00%,80.62%,0.00%,6.01%,13.37%,16.67,17.68
2023-10-31T13,0.00%,75.97%,0.00%,5.73%,18.29%,15.71,16.66
2023-10-31T14,0.00%,70.10%,0.00%,5.08%,24.82%,14.50,15.37
2023-10-31T15,0.00%,67.68%,0.00%,4.88%,27.44%,14.00,14.84
2023-10-31T16,0.00%,57.80%,0.00%,4.54%,37.66%,11.95,12.68
2023-10-31T17,0.00%,48.83%,0.00%,4.35%,46.82%,10.10,10.71
2023-10-31T18,0.00%,49.80%,0.00%,4.41%,45.80%,10.30,10.92
2023-10-31T19,0.00%,50.94%,0.00%,4.48%,44.58%,10.54,11.17
2023-10-31T20,0.00%,49.43%,0.00%,4.52%,46.05%,10.22,10.84
2023-10-31T21,0.00%,47.46%,0.00%,4.54%,48.00%,9.81,10.41
2023-10-31T22,0.00%,45.48%,0.00%,4.56%,49.96%,9.40,9.97
2023-10-31T23,0.00%,40.42%,0.00%,4.65%,54.92%,8.36,8.86
2023-11-01T00,0.00%,42.11%,0.00%,4.57%,53.32%,8.71,9.23
2023-11-01T01,0.00%,50.38%,0.00%,4.54%,45.08%,10.42,11.05
2023-11-01T02,0.00%,65.34%,0.00%,4.60%,30.05%,13.51,14.33
2023-11-01T03,0.00%,70.46%,0.00%,4.70%,24.84%,14.57,15.45
2023-11-01T04,0.00%,70.01%,0.00%,4.97%,25.02%,14.48,15.35
2023-11-01T05,0.00%,71.45%,0.00%,5.14%,23.40%,14.78,15.67
2023-11-01T06,0.00%,73.44%,0.00%,5.25%,21.32%,15.19,16.10
2023-11-01T07,0.00%,74.27%,0.00%,5.47%,20.26%,15.36,16.29
2023-11-01T08,0.00%,78.71%,0.00%,5.94%,15.35%,16.28,17.26
2023-11-01T09,0.00%,78.73%,0.00%,6.36%,14.91%,16.28,17.27
2023-11-01T10,0.00%,83.41%,0.00%,6.52%,10.08%,17.25,18.29
2023-11-01T11,0.00%,84.25%,0.00%,6.59%,9.16%,17.42,18.48
2023-11-01T12,0.00%,84.76%,0.00%,6.71%,8.54%,17.53,18.59
2023-11-01T13,0.00%,80.63%,0.00%,6.53%,12.84%,16.67,17.68
2023-11-01T14,0.00%,76.19%,0.00%,6.04%,17.77%,15.76,16.71
2023-11-01T15,0.00%,69.69%,0.00%,5.38%,24.92%,14.41,15.28
2023-11-01T16,0.00%,66.76%,0.00%,5.06%,28.18%,13.81,14.64
2023-11-01T17,0.00%,59.33%,0.00%,4.74%,35.93%,12.27,13.01
2023-11-01T18,0.00%,50.51%,0.00%,4.48%,45.02%,10.44,11.08
2023-11-01T19,0.00%,48.98%,0.00%,4.54%,46.48%,10.13,10.74
2023-11-01T20,0.00%,50.22%,0.00%,4.71%,45.06%,10.39,11.01
2023-11-01T21,0.00%,48.20%,0.00%,4.80%,47.00%,9.97,10.57
2023-11-01T22,0.00%,44.94%,0.00%,4.79%,50.27%,9.29,9.86
2023-11-01T23,0.00%,40.45%,0.00%,4.68%,54.87%,8.37,8.87
2023-11-02T00,0.00%,42.50%,0.00%,4.58%,52.93%,8.79,9.32
2023-11-02T01,0.00%,51.35%,0.00%,4.57%,44.08%,10.62,11.26
2023-11-02T02,0.00%,64.91%,0.00%,4.57%,30.52%,13.42,14.24
2023-11-02T03,0.00%,68.42%,0.00%,4.57%,27.00%,14.15,15.00
2023-11-02T04,0.00%,70.61%,0.00%,4.80%,24.59%,14.60,15.48
2023-11-02T05,0.00%,71.17%,0.00%,5.03%,23.80%,14.72,15.61
2023-11-02T06,0.00%,74.37%,0.00%,5.42%,20.21%,15.38,16.31
2023-11-02T07,0.00%,78.88%,0.00%,5.98%,15.14%,16.31,17.30
2023-11-02T08,0.00%,81.12%,0.00%,6.27%,12.61%,16.78,17.79
2023-11-02T09,0.00%,85.20%,0.00%,6.62%,8.18%,17.62,18.68
2023-11-02T10,0.00%,88.13%,0.00%,6.78%,5.09%,18.23,19.33
2023-11-02T11,0.00%,89.74%,0.00%,6.98%,3.29%,18.56,19.68
2023-11-02T12,0.00%,85.25%,0.00%,7.09%,7.67%,17.63,18.69
2023-11-02T13,0.00%,83.82%,0.00%,7.06%,9.12%,17.33,18.38
2023-11-02T14,0.00%,77.60%,0.00%,6.52%,15.88%,16.05,17.02
2023-11-02T15,0.00%,70.82%,0.00%,5.85%,23.33%,14.64,15.53
2023-11-02T16,0.00%,66.70%,0.00%,5.51%,27.78%,13.79,14.63
2023-11-02T17,0.00%,56.08%,0.00%,5.01%,38.91%,11.60,12.30
2023-11-02T18,0.00%,47.23%,0.00%,4.81%,47.96%,9.77,10.36
2023-11-02T19,0.00%,46.79%,0.00%,4.97%,48.24%,9.68,10.26
2023-11-02T20,0.00%,49.05%,0.00%,5.06%,45.89%,10.14,10.76
2023-11-02T21,0.00%,47.37%,0.00%,5.08%,47.55%,9.80,10.39
2023-11-02T22,0.00%,43.42%,0.00%,5.14%,51.44%,8.98,9.52
2023-11-02T23,0.00%,43.00%,0.00%,4.89%,52.10%,8.89,9.43
2023-11-03T00,0.00%,43.04%,0.00%,4.69%,52.26%,8.90,9.44
2023-11-03T01,0.00%,48.96%,0.00%,4.90%,46.14%,10.12,10.74
2023-11-03T02,0.00%,60.05%,0.00%,5.07%,34.88%,12.42,13.17
2023-11-03T03,0.00%,65.02%,0.00%,4.99%,29.99%,13.44,14.26
2023-11-03T04,0.00%,70.27%,0.00%,5.37%,24.35%,14.53,15.41
2023-11-03T05,0.00%,70.02%,0.00%,5.71%,24.27%,14.48,15.35
2023-11-03T06,0.00%,69.90%,0.00%,5.99%,24.11%,14.45,15.33
2023-11-03T07,0.00%,71.38%,0.00%,6.51%,22.11%,14.76,15.65
2023-11-03T08,0.00%,74.91%,0.00%,7.16%,17.93%,15.49,16.43
2023-11-03T09,0.00%,78.10%,0.00%,7.57%,14.34%,16.15,17.13
2023-11-03T10,0.00%,80.10%,0.00%,7.91%,11.99%,16.56,17.57
2023-11-03T11,0.00%,79.35%,0.00%,8.24%,12.41%,16.41,17.40
2023-11-03T12,0.00%,79.94%,0.00%,8.30%,11.76%,16.53,17.53
2023-11-03T13,0.00%,81.35%,0.00%,7.94%,10.70%,16.82,17.84
2023-11-03T14,0.00%,78.79%,0.00%,7.87%,13.33%,16.29,17.28
2023-11-03T15,0.00%,68.08%,0.00%,6.66%,25.26%,14.08,14.93
2023-11-03T16,0.00%,64.37%,0.00%,6.07%,29.55%,13.31,14.12
2023-11-03T17,0.00%,53.75%,0.00%,5.45%,40.80%,11.12,11.79
2023-11-03T18,0.00%,44.02%,0.00%,5.05%,50.93%,9.10,9.65
2023-11-03T19,0.00%,45.59%,0.00%,5.04%,49.37%,9.43,10.00
2023-11-03T20,0.00%,45.50%,0.00%,5.09%,49.41%,9.41,9.98
2023-11-03T21,0.00%,43.99%,0.00%,5.12%,50.89%,9.10,9.65
2023-11-03T22,0.00%,41.77%,0.00%,5.02%,53.21%,8.64,9.16
2023-11-03T23,0.00%,39.95%,0.00%,4.89%,55.17%,8.26,8.76
2023-11-04T00,0.00%,38.74%,0.00%,4.88%,56.38%,8.01,8.50
2023-11-04T01,0.00%,47.13%,0.00%,5.08%,47.79%,9.75,10.34
2023-11-04T02,0.00%,60.73%,0.00%,5.30%,33.96%,12.56,13.32
2023-11-04T03,0.00%,63.94%,0.00%,5.25%,30.80%,13.22,14.02
2023-11-04T04,0.00%,65.98%,0.00%,5.53%,28.49%,13.64,14.47
2023-11-04T05,0.00%,66.16%,0.00%,5.89%,27.95%,13.68,14.51
2023-11-04T06,0.00%,68.60%,0.00%,6.16%,25.24%,14.19,15.04
2023-11-04T07,0.00%,73.77%,0.00%,6.73%,19.50%,15.26,16.18
2023-11-04T08,0.00%,78.22%,0.00%,7.30%,14.48%,16.18,17.15
2023-11-04T09,0.00%,76.40%,0.00%,7.60%,16.01%,15.80,16.75
2023-11-04T10,0.00%,75.88%,0.00%,8.00%,16.12%,15.69,16.64
2023-11-04T11,0.00%,75.50%,0.00%,8.30%,16.20%,15.61,16.56
2023-11-04T12,0.00%,76.39%,0.00%,8.50%,15.11%,15.80,16.75
2023-11-04T13,0.00%,76.59%,0.00%,8.46%,14.94%,15.84,16.80
2023-11-04T14,0.00%,78.84%,0.00%,8.21%,12.95%,16.30,17.29
2023-11-04T15,0.00%,76.96%,0.00%,7.65%,15.39%,15.92,16.88
2023-11-04T16,0.00%,71.51%,0.00%,7.37%,21.13%,14.79,15.68
2023-11-04T17,0.00%,50.82%,0.00%,6.34%,42.84%,10.51,11.15
2023-11-04T18,0.00%,46.71%,0.00%,5.72%,47.56%,9.66,10.24
2023-11-04T19,0.00%,46.14%,-0.01%,5.66%,48.20%,9.50,10.06
2023-11-04T20,0.00%,45.55%,-0.01%,5.75%,48.71%,9.33,9.87
2023-11-04T21,0.00%,42.64%,-0.02%,5.82%,51.55%,8.69,9.17
2023-11-04T22,0.00%,38.95%,-0.02%,5.73%,55.34%,7.93,8.36
2023-11-04T23,0.00%,35.58%,-0.02%,5.54%,58.90%,7.24,7.63
2023-11-05T00,0.00%,36.42%,-0.01%,5.43%,58.17%,7.41,7.82
2023-11-05T01,0.00%,47.03%,-0.02%,5.56%,47.42%,9.60,10.14
2023-11-05T02,0.00%,55.17%,-0.01%,5.79%,39.05%,11.32,11.98
2023-11-05T03,0.00%,56.79%,-0.01%,5.54%,37.68%,11.66,12.34
2023-11-05T04,0.00%,58.81%,-0.02%,5.84%,35.37%,12.03,12.71
2023-11-05T05,0.00%,58.51%,-0.02%,6.10%,35.41%,11.96,12.64
2023-11-05T06,0.00%,57.74%,-0.02%,6.41%,35.87%,11.80,12.46
2023-11-05T07,0.00%,62.25%,-0.02%,7.05%,30.72%,12.72,13.43
2023-11-05T08,0.00%,65.90%,-0.02%,7.80%,26.32%,13.45,14.21
2023-11-05T09,0.00%,68.42%,-0.02%,7.84%,23.75%,13.98,14.76
2023-11-05T10,0.00%,71.26%,-0.02%,8.29%,20.47%,14.55,15.37
2023-11-05T11,0.00%,70.67%,-0.02%,8.46%,20.89%,14.43,15.23
2023-11-05T12,0.00%,72.41%,-0.02%,8.64%,18.97%,14.78,15.61
2023-11-05T13,0.00%,67.40%,-0.02%,8.62%,24.00%,13.75,14.51
2023-11-05T14,0.00%,68.40%,-0.02%,8.71%,22.91%,13.95,14.73
2023-11-05T15,0.00%,68.58%,-0.02%,8.38%,23.06%,14.00,14.78
2023-11-05T16,0.00%,64.13%,-0.02%,8.14%,27.76%,13.08,13.81
2023-11-05T17,0.00%,45.89%,-0.02%,6.61%,47.52%,9.34,9.85
2023-11-05T18,0.00%,38.22%,-0.02%,5.86%,55.93%,7.77,8.20
2023-11-05T19,0.00%,35.93%,-0.01%,5.94%,58.13%,7.39,7.82
2023-11-05T20,0.00%,37.20%,0.16%,5.92%,56.72%,9.00,10.02
2023-11-05T21,0.00%,36.98%,0.25%,5.93%,56.85%,9.66,10.96
2023-11-05T22,0.00%,34.11%,0.24%,5.81%,59.83%,8.99,10.22
2023-11-05T23,0.00%,29.43%,0.23%,5.50%,64.84%,7.96,9.11
2023-11-06T00,0.00%,33.15%,0.21%,5.07%,61.57%,8.58,9.71
2023-11-06T01,0.00%,42.14%,0.21%,5.18%,52.47%,10.44,11.68
2023-11-06T02,0.00%,54.88%,0.22%,5.44%,39.46%,13.16,14.60
2023-11-06T03,0.00%,57.23%,0.22%,5.27%,37.29%,13.58,15.03
2023-11-06T04,0.00%,57.85%,0.23%,5.45%,36.47%,13.81,15.31
2023-11-06T05,0.00%,59.55%,0.25%,5.85%,34.35%,14.30,15.88
2023-11-06T06,0.00%,61.82%,0.26%,6.09%,31.84%,14.85,16.49
2023-11-06T07,0.00%,63.92%,0.28%,6.69%,29.11%,15.50,17.25
2023-11-06T08,0.00%,66.15%,0.30%,7.06%,26.49%,16.08,17.91
2023-11-06T09,0.00%,66.60%,0.32%,7.53%,25.55%,16.33,18.24
2023-11-06T10,0.00%,67.99%,0.33%,7.79%,23.89%,16.71,18.66
2023-11-06T11,0.00%,69.40%,0.33%,7.95%,22.32%,17.00,18.97
2023-11-06T12,0.00%,68.03%,0.34%,8.12%,23.52%,16.82,18.83
2023-11-06T13,0.00%,67.33%,0.34%,8.04%,24.29%,16.66,18.64
2023-11-06T14,0.00%,66.14%,0.32%,7.64%,25.89%,16.28,18.19
2023-11-06T15,0.00%,62.08%,0.29%,6.89%,30.74%,15.18,16.93
2023-11-06T16,0.00%,57.43%,0.25%,6.15%,36.17%,13.87,15.43
2023-11-06T17,0.00%,47.82%,0.23%,5.60%,46.35%,11.75,13.12
2023-11-06T18,0.00%,42.29%,0.20%,4.95%,52.56%,10.39,11.61
2023-11-06T19,0.00%,41.87%,0.20%,4.78%,53.15%,10.25,11.44
2023-11-06T20,0.00%,40.56%,0.20%,4.75%,54.49%,9.97,11.14
2023-11-06T21,0.00%,40.54%,0.20%,4.80%,54.46%,9.98,11.16
2023-11-06T22,0.00%,41.00%,0.20%,4.77%,54.03%,10.07,11.25
2023-11-06T23,0.00%,36.08%,0.20%,4.79%,58.92%,9.10,10.24
2023-11-07T00,0.00%,37.52%,0.20%,4.69%,57.59%,9.36,10.50
2023-11-07T01,0.00%,44.60%,0.20%,4.79%,50.41%,10.83,12.06
2023-11-07T02,0.00%,58.81%,0.20%,4.79%,36.20%,13.76,15.17
2023-11-07T03,0.00%,60.69%,0.19%,4.69%,34.43%,14.12,15.53
2023-11-07T04,0.00%,61.13%,0.21%,5.06%,33.60%,14.33,15.80
2023-11-07T05,0.00%,60.37%,0.23%,5.47%,33.92%,14.35,15.89
2023-11-07T06,0.00%,59.83%,0.23%,5.55%,34.39%,14.27,15.81
2023-11-07T07,0.00%,64.89%,0.25%,6.08%,28.79%,15.44,17.10
2023-11-07T08,0.00%,65.94%,0.27%,6.57%,27.21%,15.82,17.56
2023-11-07T09,0.00%,62.94%,0.29%,6.88%,29.89%,15.36,17.12
2023-11-07T10,0.00%,59.61%,0.32%,7.55%,32.52%,14.90,16.72
2023-11-07T11,0.00%,61.32%,0.34%,8.09%,30.25%,15.43,17.35
2023-11-07T12,0.00%,65.27%,0.35%,8.35%,26.03%,16.33,18.34
2023-11-07T13,0.00%,63.16%,0.35%,8.35%,28.14%,15.89,17.87
2023-11-07T14,0.00%,62.55%,0.34%,8.05%,29.06%,15.67,17.59
2023-11-07T15,0.00%,58.78%,0.31%,7.45%,33.45%,14.68,16.48
2023-11-07T16,0.00%,52.68%,0.28%,6.60%,40.44%,13.13,14.73
2023-11-07T17,0.00%,42.82%,0.24%,5.77%,51.17%,10.81,12.17
2023-11-07T18,0.00%,31.90%,0.22%,5.25%,62.63%,8.38,9.52
2023-11-07T19,0.00%,29.96%,0.22%,5.26%,64.56%,7.98,9.10
2023-11-07T20,0.00%,29.26%,0.22%,5.26%,65.26%,7.84,8.95
2023-11-07T21,0.00%,32.65%,0.22%,5.23%,61.89%,8.53,9.68
2023-11-07T22,0.00%,31.53%,0.22%,5.14%,63.12%,8.27,9.39
2023-11-07T23,0.00%,31.93%,0.22%,5.17%,62.69%,8.36,9.50
2023-11-08T00,0.00%,30.95%,0.21%,5.09%,63.75%,8.13,9.24
2023-11-08T01,0.00%,37.97%,0.22%,5.30%,56.50%,9.65,10.88
2023-11-08T02,0.00%,50.21%,0.22%,5.24%,44.34%,12.16,13.53
2023-11-08T03,0.00%,54.66%,0.20%,4.85%,40.29%,12.95,14.33
2023-11-08T04,0.00%,53.71%,0.21%,5.10%,40.98%,12.80,14.19
2023-11-08T05,0.00%,54.65%,0.23%,5.53%,39.59%,13.18,14.65
2023-11-08T06,0.00%,56.25%,0.24%,5.75%,37.75%,13.59,15.11
2023-11-08T07,0.00%,58.80%,0.26%,6.10%,34.84%,14.24,15.84
2023-11-08T08,0.00%,60.03%,0.28%,6.64%,33.05%,14.67,16.37
2023-11-08T09,0.00%,59.79%,0.30%,7.18%,32.73%,14.81,16.57
2023-11-08T10,0.00%,64.64%,0.30%,7.08%,27.98%,15.77,17.59
2023-11-08T11,0.00%,73.22%,0.30%,7.15%,19.33%,17.57,19.50
2023-11-08T12,0.00%,73.97%,0.31%,7.39%,18.33%,17.81,19.78
2023-11-08T13,0.00%,71.73%,0.32%,7.58%,20.38%,17.40,19.38
2023-11-08T14,0.00%,69.20%,0.30%,7.26%,23.23%,16.77,18.67
2023-11-08T15,0.00%,63.87%,0.28%,6.67%,29.18%,15.47,17.21
2023-11-08T16,0.00%,58.60%,0.25%,5.93%,35.22%,14.13,15.70
2023-11-08T17,0.00%,52.64%,0.22%,5.34%,41.80%,12.70,14.11
2023-11-08T18,0.00%,40.47%,0.21%,5.07%,54.25%,10.09,11.32
2023-11-08T19,0.00%,39.20%,0.21%,4.90%,55.69%,9.77,10.96
2023-11-08T20,0.00%,40.16%,0.20%,4.79%,54.85%,9.93,11.11
2023-11-08T21,0.00%,39.39%,0.20%,4.84%,55.56%,9.79,10.97
2023-11-08T22,0.00%,38.82%,0.20%,4.72%,56.26%,9.63,10.79
2023-11-08T23,0.00%,38.42%,0.20%,4.66%,56.72%,9.53,10.68
2023-11-09T00,0.00%,38.59%,0.19%,4.59%,56.63%,9.54,10.68
2023-11-09T01,0.00%,47.62%,0.19%,4.63%,47.55%,11.42,12.68
2023-11-09T02,0.00%,59.82%,0.20%,4.84%,35.14%,14.01,15.45
2023-11-09T03,0.00%,62.83%,0.20%,4.78%,32.19%,14.62,16.08
2023-11-09T04,0.00%,64.29%,0.21%,4.92%,30.58%,14.97,16.47
2023-11-09T05,0.00%,66.27%,0.22%,5.27%,28.25%,15.49,17.07
2023-11-09T06,0.00%,65.76%,0.23%,5.43%,28.58%,15.44,17.04
2023-11-09T07,0.00%,70.64%,0.24%,5.92%,23.20%,16.53,18.22
2023-11-09T08,0.00%,73.18%,0.27%,6.38%,20.17%,17.30,19.12
2023-11-09T09,0.00%,73.65%,0.28%,6.65%,19.43%,17.48,19.35
2023-11-09T10,0.00%,75.85%,0.29%,6.81%,17.06%,18.00,19.92
2023-11-09T11,0.00%,77.80%,0.30%,7.12%,14.79%,18.51,20.49
2023-11-09T12,0.00%,79.44%,0.30%,7.09%,13.17%,18.84,20.84
2023-11-09T13,0.00%,79.71%,0.29%,7.02%,12.98%,18.86,20.86
2023-11-09T14,0.00%,76.37%,0.28%,6.79%,16.56%,18.10,20.01
2023-11-09T15,0.00%,72.66%,0.26%,6.13%,20.96%,17.10,18.88
2023-11-09T16,0.00%,68.36%,0.23%,5.56%,25.84%,16.02,17.67
2023-11-09T17,0.00%,57.57%,0.21%,5.06%,37.15%,13.62,15.06
2023-11-09T18,0.00%,46.99%,0.20%,4.68%,48.13%,11.31,12.56
2023-11-09T19,0.00%,42.46%,0.20%,4.66%,52.68%,10.36,11.56
2023-11-09T20,0.00%,43.49%,0.20%,4.74%,51.57%,10.60,11.82
2023-11-09T21,0.00%,41.37%,0.21%,5.02%,53.40%,10.26,11.49
2023-11-09T22,0.00%,40.05%,0.21%,5.09%,54.65%,10.01,11.24
2023-11-09T23,0.00%,40.67%,0.21%,4.94%,54.19%,10.09,11.30
2023-11-10T00,0.00%,42.58%,0.20%,4.84%,52.38%,10.45,11.67
2023-11-10T01,0.00%,51.99%,0.22%,5.12%,42.67%,12.50,13.88
2023-11-10T02,0.00%,62.51%,0.21%,5.03%,32.25%,14.64,16.14
2023-11-10T03,0.00%,67.04%,0.21%,5.05%,27.70%,15.58,17.13
2023-11-10T04,0.00%,69.12%,0.22%,5.29%,25.38%,16.09,17.71
2023-11-10T05,0.00%,69.65%,0.23%,5.48%,24.64%,16.27,17.92
2023-11-10T06,0.00%,71.51%,0.24%,5.76%,22.49%,16.75,18.46
2023-11-10T07,0.00%,72.98%,0.25%,5.97%,20.79%,17.12,18.89
2023-11-10T08,0.00%,75.11%,0.28%,6.56%,18.05%,17.77,19.64
2023-11-10T09,0.00%,76.03%,0.29%,7.00%,16.68%,18.11,20.05
2023-11-10T10,0.00%,78.93%,0.31%,6.94%,13.82%,18.82,20.85
2023-11-10T11,0.00%,81.03%,0.33%,6.47%,12.18%,19.42,21.54
2023-11-10T12,0.00%,85.23%,0.34%,5.79%,8.63%,20.41,22.65
2023-11-10T13,0.00%,85.68%,0.35%,4.95%,9.03%,20.58,22.85
2023-11-10T14,0.00%,84.08%,0.35%,3.92%,11.65%,20.22,22.45
2023-11-10T15,0.00%,79.97%,0.32%,2.85%,16.86%,19.09,21.16
2023-11-10T16,0.00%,70.98%,0.27%,2.29%,26.45%,16.90,18.71
2023-11-10T17,0.00%,58.85%,0.25%,2.13%,38.77%,14.23,15.83
2023-11-10T18,0.00%,46.76%,0.23%,1.96%,51.05%,11.56,12.94
2023-11-10T19,0.00%,42.32%,0.24%,1.97%,55.47%,10.66,11.98
2023-11-10T20,0.00%,46.48%,0.23%,1.93%,51.37%,11.48,12.84
2023-11-10T21,0.00%,45.05%,0.23%,1.89%,52.83%,11.15,12.48
2023-11-10T22,0.00%,42.11%,0.24%,1.97%,55.68%,10.62,11.95
2023-11-10T23,0.00%,44.82%,0.23%,1.91%,53.05%,11.12,12.46
2023-11-11T00,0.00%,46.22%,0.21%,1.76%,51.81%,11.27,12.57
2023-11-11T01,0.00%,51.39%,0.22%,1.80%,46.60%,12.38,13.76
2023-11-11T02,0.00%,66.61%,0.23%,1.87%,31.29%,15.60,17.20
2023-11-11T03,0.00%,71.26%,0.22%,1.86%,26.66%,16.54,18.19
2023-11-11T04,0.00%,71.44%,0.23%,1.91%,26.42%,16.63,18.30
2023-11-11T05,0.00%,71.98%,0.24%,1.97%,25.81%,16.80,18.49
2023-11-11T06,0.00%,74.44%,0.25%,2.05%,23.26%,17.39,19.15
2023-11-11T07,0.00%,78.03%,0.26%,2.19%,19.51%,18.26,20.13
2023-11-11T08,0.00%,79.93%,0.30%,2.46%,17.31%,18.92,20.92
2023-11-11T09,0.00%,81.09%,0.32%,2.68%,15.90%,19.37,21.47
2023-11-11T10,0.00%,80.44%,0.33%,2.72%,16.52%,19.27,21.38
2023-11-11T11,0.00%,80.55%,0.35%,2.89%,16.21%,19.46,21.64
2023-11-11T12,0.00%,82.88%,0.36%,3.03%,13.73%,20.09,22.36
2023-11-11T13,0.00%,81.55%,0.38%,3.19%,14.88%,19.96,22.28
2023-11-11T14,0.00%,81.17%,0.38%,3.18%,15.27%,19.88,22.19
2023-11-11T15,0.00%,81.48%,0.36%,3.05%,15.11%,19.80,22.05
2023-11-11T16,0.00%,75.25%,0.33%,2.81%,21.61%,18.27,20.34
2023-11-11T17,0.00%,54.89%,0.29%,2.41%,42.41%,13.68,15.34
2023-11-11T18,0.00%,40.19%,0.25%,2.12%,57.44%,10.34,11.69
2023-11-11T19,0.00%,36.52%,0.26%,2.24%,60.99%,9.62,10.94
2023-11-11T20,0.00%,38.20%,0.27%,2.35%,59.18%,10.06,11.45
2023-11-11T21,0.00%,37.02%,0.28%,2.43%,60.28%,9.90,11.30
2023-11-11T22,0.00%,34.31%,0.28%,2.42%,62.99%,9.33,10.69
2023-11-11T23,0.00%,28.78%,0.27%,2.39%,68.55%,8.17,9.45
2023-11-12T00,0.00%,29.95%,0.25%,2.22%,67.58%,8.25,9.49
2023-11-12T01,0.00%,42.60%,0.26%,2.25%,54.90%,10.90,12.30
2023-11-12T02,0.00%,63.35%,0.27%,2.32%,34.06%,15.30,17.01
2023-11-12T03,0.00%,66.61%,0.25%,2.13%,31.01%,15.80,17.48
2023-11-12T04,0.00%,69.78%,0.26%,2.23%,27.73%,16.55,18.31
2023-11-12T05,0.00%,70.04%,0.27%,2.34%,27.35%,16.70,18.50
2023-11-12T06,0.00%,68.86%,0.28%,2.43%,28.42%,16.55,18.37
2023-11-12T07,0.00%,72.06%,0.29%,2.50%,25.14%,17.28,19.17
2023-11-12T08,0.00%,76.09%,0.33%,2.80%,20.79%,18.38,20.44
2023-11-12T09,0.00%,75.34%,0.34%,2.94%,21.38%,18.36,20.46
2023-11-12T10,0.00%,77.50%,0.35%,3.00%,19.15%,18.86,21.02
2023-11-12T11,0.00%,79.26%,0.36%,3.12%,17.25%,19.35,21.57
2023-11-12T12,0.00%,79.30%,0.37%,3.18%,17.15%,19.43,21.68
2023-11-12T13,0.00%,78.72%,0.37%,3.18%,17.72%,19.30,21.55
2023-11-12T14,0.00%,78.02%,0.37%,3.14%,18.47%,19.12,21.34
2023-11-12T15,0.00%,74.75%,0.36%,3.12%,21.76%,18.41,20.58
2023-11-12T16,0.00%,69.80%,0.35%,2.96%,26.89%,17.23,19.27
2023-11-12T17,0.00%,51.37%,0.28%,2.42%,45.92%,12.92,14.52
2023-11-12T18,0.00%,34.04%,0.25%,2.15%,63.56%,9.07,10.35
2023-11-12T19,0.00%,34.77%,0.25%,2.16%,62.82%,9.23,10.52
2023-11-12T20,0.00%,35.42%,0.25%,2.18%,62.15%,9.39,10.69
2023-11-12T21,0.00%,33.42%,0.26%,2.23%,64.09%,9.02,10.33
2023-11-12T22,0.00%,31.11%,0.26%,2.22%,66.41%,8.55,9.82
2023-11-12T23,0.00%,32.20%,0.25%,2.10%,65.46%,8.66,9.90
2023-11-13T00,0.00%,33.83%,0.23%,1.99%,63.95%,8.89,10.11
2023-11-13T01,0.00%,46.52%,0.25%,2.10%,51.13%,11.62,13.05
2023-11-13T02,0.00%,65.96%,0.26%,2.25%,31.53%,15.78,17.49
2023-11-13T03,0.00%,67.09%,0.25%,2.10%,30.57%,15.86,17.54
2023-11-13T04,0.00%,68.55%,0.25%,2.15%,29.04%,16.22,17.94
2023-11-13T05,0.00%,70.09%,0.26%,2.23%,27.42%,16.61,18.37
2023-11-13T06,0.00%,71.84%,0.28%,2.35%,25.53%,17.09,18.92
2023-11-13T07,0.00%,75.15%,0.30%,2.53%,22.02%,17.94,19.88
2023-11-13T08,0.00%,78.87%,0.32%,2.70%,18.11%,18.87,20.93
2023-11-13T09,0.00%,79.53%,0.34%,2.89%,17.23%,19.19,21.33
2023-11-13T10,0.00%,82.40%,0.33%,2.84%,14.43%,19.74,21.89
2023-11-13T11,0.00%,84.00%,0.34%,2.91%,12.75%,20.14,22.35
2023-11-13T12,0.00%,85.29%,0.35%,2.97%,11.40%,20.45,22.69
2023-11-13T13,0.00%,85.05%,0.35%,2.98%,11.62%,20.41,22.66
2023-11-13T14,0.00%,83.60%,0.34%,2.87%,13.19%,20.01,22.19
2023-11-13T15,0.00%,75.66%,0.29%,2.49%,21.56%,18.01,19.94
2023-11-13T16,0.00%,69.27%,0.26%,2.24%,28.23%,16.44,18.19
2023-11-13T17,0.00%,62.37%,0.25%,2.13%,35.26%,14.91,16.53
2023-11-13T18,0.00%,52.95%,0.24%,2.02%,44.79%,12.86,14.33
2023-11-13T19,0.00%,55.22%,0.23%,2.01%,42.54%,13.32,14.80
2023-11-13T20,0.00%,56.00%,0.24%,2.02%,41.75%,13.49,14.99
2023-11-13T21,0.00%,55.80%,0.24%,2.03%,41.94%,13.46,14.96
2023-11-13T22,0.00%,54.71%,0.24%,2.03%,43.02%,13.24,14.73
