period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-08T03,11.58%,24.29%,46.84%,0.00%,17.29%,6.15,20.85
2023-01-08T04,12.00%,22.93%,48.80%,0.00%,16.27%,6.27,21.39
2023-01-08T05,12.58%,22.77%,51.13%,0.00%,13.52%,6.51,22.29
2023-01-08T06,13.07%,22.75%,52.92%,0.00%,11.26%,6.72,23.08
2023-01-08T07,13.54%,25.20%,55.15%,0.00%,6.11%,7.04,24.07
2023-01-08T08,13.78%,24.42%,56.04%,0.00%,5.76%,7.10,24.37
2023-01-08T09,13.98%,23.60%,56.84%,0.00%,5.58%,7.15,24.61
2023-01-08T10,13.94%,23.24%,56.90%,0.00%,5.93%,7.12,24.51
2023-01-08T11,13.77%,23.74%,56.25%,0.00%,6.25%,7.07,24.29
2023-01-08T12,13.41%,24.13%,54.94%,0.00%,7.52%,6.93,23.76
2023-01-08T13,13.05%,24.12%,53.10%,0.00%,9.72%,6.78,23.18
2023-01-08T14,12.50%,21.56%,51.06%,0.00%,14.88%,6.42,22.05
2023-01-08T15,11.94%,22.42%,48.86%,0.00%,16.77%,6.22,21.25
2023-01-08T16,11.89%,22.53%,48.33%,0.00%,17.26%,6.20,21.16
2023-01-08T17,11.77%,21.67%,47.92%,0.00%,18.64%,6.11,20.89
2023-01-08T18,11.74%,21.94%,47.75%,0.00%,18.57%,6.11,20.87
2023-01-08T19,11.81%,22.16%,47.93%,0.00%,18.10%,6.15,21.00
2023-01-08T20,11.76%,21.50%,47.86%,0.00%,18.88%,6.09,20.86
2023-01-08T21,11.79%,20.76%,47.89%,0.00%,19.56%,6.07,20.84
2023-01-08T22,11.69%,21.32%,47.42%,0.00%,19.57%,6.06,20.74
2023-01-08T23,11.38%,21.99%,46.44%,0.00%,20.19%,5.95,20.30
2023-01-09T00,10.98%,22.86%,44.58%,0.00%,21.58%,5.82,19.74
2023-01-09T01,10.88%,23.65%,44.45%,0.00%,21.02%,5.82,19.67
2023-01-09T02,11.01%,24.16%,44.69%,0.00%,20.15%,5.90,19.92
2023-01-09T03,11.10%,23.79%,45.14%,0.00%,19.97%,5.92,20.04
2023-01-09T04,11.56%,24.57%,46.85%,0.00%,17.02%,6.16,20.84
2023-01-09T05,11.98%,24.57%,48.58%,0.00%,14.86%,6.34,21.52
2023-01-09T06,12.36%,25.79%,50.31%,0.00%,11.54%,6.56,22.24
2023-01-09T07,12.55%,27.04%,50.93%,0.00%,9.48%,6.70,22.66
2023-01-09T08,12.53%,27.41%,51.05%,0.00%,9.01%,6.71,22.66
2023-01-09T09,12.36%,28.40%,50.42%,0.00%,8.82%,6.68,22.48
2023-01-09T10,11.98%,29.70%,48.84%,0.00%,9.47%,6.58,22.01
2023-01-09T11,11.31%,30.20%,45.95%,0.00%,12.55%,6.32,20.98
2023-01-09T12,12.02%,31.05%,41.75%,0.00%,15.18%,6.66,22.21
2023-01-09T13,12.11%,29.29%,38.63%,0.00%,19.97%,6.62,22.17
2023-01-09T14,12.07%,28.64%,37.81%,0.00%,21.48%,6.57,22.05
2023-01-09T15,11.64%,28.14%,39.00%,0.00%,21.21%,6.36,21.32
2023-01-09T16,12.28%,27.71%,40.28%,0.00%,19.72%,6.62,22.30
2023-01-09T17,12.71%,28.29%,42.00%,0.00%,17.00%,6.83,23.04
2023-01-09T18,12.68%,27.68%,43.53%,0.00%,16.10%,6.79,22.94
2023-01-09T19,12.96%,25.74%,45.53%,0.00%,15.78%,6.81,23.18
2023-01-09T20,13.21%,24.97%,46.36%,0.00%,15.46%,6.88,23.51
2023-01-09T21,13.40%,26.36%,47.01%,0.00%,13.22%,7.03,23.95
2023-01-09T22,13.30%,27.13%,46.87%,0.00%,12.70%,7.03,23.87
2023-01-09T23,12.93%,29.56%,44.89%,0.00%,12.62%,6.99,23.52
2023-01-10T00,13.09%,29.44%,41.40%,0.00%,16.07%,7.05,23.76
2023-01-10T01,13.43%,29.06%,40.11%,0.00%,17.41%,7.18,24.26
2023-01-10T02,13.50%,29.06%,40.00%,0.00%,17.44%,7.21,24.38
2023-01-10T03,13.63%,29.21%,40.18%,0.00%,16.99%,7.27,24.60
2023-01-10T04,14.11%,29.07%,40.97%,0.00%,15.85%,7.47,25.35
2023-01-10T05,14.54%,28.72%,42.31%,0.00%,14.43%,7.64,26.01
2023-01-10T06,15.26%,28.75%,43.63%,0.00%,12.36%,7.95,27.15
2023-01-10T07,15.53%,30.84%,43.99%,0.00%,9.64%,8.17,27.79
2023-01-10T08,16.41%,30.14%,44.10%,0.00%,9.35%,8.51,29.12
2023-01-10T09,16.87%,29.69%,43.34%,0.00%,10.09%,8.69,29.82
2023-01-10T10,16.61%,28.72%,42.26%,0.00%,12.41%,8.53,29.31
2023-01-10T11,15.78%,29.35%,40.19%,0.00%,14.68%,8.20,28.05
2023-01-10T12,15.16%,28.67%,38.17%,0.00%,17.99%,7.90,26.99
2023-01-10T13,14.98%,27.33%,35.95%,0.00%,21.74%,7.76,26.56
2023-01-10T14,16.29%,26.40%,35.89%,0.00%,21.42%,8.28,28.57
2023-01-10T15,16.77%,25.30%,36.70%,0.00%,21.23%,8.44,29.23
2023-01-10T16,16.05%,23.53%,39.33%,0.00%,21.08%,8.04,27.91
2023-01-10T17,17.02%,22.94%,41.53%,0.00%,18.51%,8.43,29.39
2023-01-10T18,18.24%,23.59%,43.35%,0.00%,14.82%,8.98,31.40
2023-01-10T19,19.02%,24.96%,45.01%,0.00%,11.01%,9.39,32.79
2023-01-10T20,19.78%,23.96%,46.87%,0.00%,9.39%,9.67,33.90
2023-01-10T21,20.20%,22.92%,47.73%,0.00%,9.15%,9.80,34.47
2023-01-10T22,18.35%,24.64%,48.11%,0.00%,8.91%,9.08,31.68
2023-01-10T23,17.07%,28.63%,45.40%,0.00%,8.90%,8.72,30.03
2023-01-11T00,16.07%,28.32%,42.36%,0.00%,13.25%,8.28,28.40
2023-01-11T01,15.75%,27.97%,41.58%,0.00%,14.71%,8.12,27.86
2023-01-11T02,15.82%,27.31%,42.06%,0.00%,14.80%,8.12,27.91
2023-01-11T03,16.07%,26.65%,42.50%,0.00%,14.77%,8.20,28.25
2023-01-11T04,16.74%,26.31%,44.23%,0.00%,12.72%,8.47,29.28
2023-01-11T05,15.12%,27.57%,46.65%,0.00%,10.66%,7.83,26.81
2023-01-11T06,14.19%,26.62%,48.66%,0.00%,10.53%,7.39,25.24
2023-01-11T07,14.59%,25.68%,49.76%,0.00%,9.98%,7.51,25.78
2023-01-11T08,14.65%,25.56%,50.00%,0.00%,9.80%,7.53,25.87
2023-01-11T09,14.75%,24.84%,50.37%,0.00%,10.04%,7.54,25.95
2023-01-11T10,14.75%,24.48%,50.34%,0.00%,10.44%,7.52,25.92
2023-01-11T11,14.44%,22.78%,49.31%,0.00%,13.48%,7.31,25.26
2023-01-11T12,13.76%,22.74%,46.97%,0.00%,16.53%,7.01,24.17
2023-01-11T13,13.14%,24.84%,44.48%,0.00%,17.54%,6.85,23.40
2023-01-11T14,14.24%,23.81%,44.39%,0.00%,17.56%,7.27,25.05
2023-01-11T15,14.56%,22.77%,44.91%,0.00%,17.76%,7.36,25.46
2023-01-11T16,14.39%,21.74%,45.61%,0.00%,18.26%,7.24,25.08
2023-01-11T17,13.58%,22.90%,46.06%,0.00%,17.47%,6.94,23.90
2023-01-11T18,13.79%,24.35%,46.98%,0.00%,14.87%,7.11,24.38
2023-01-11T19,14.08%,24.79%,47.55%,0.00%,13.58%,7.25,24.89
2023-01-11T20,14.54%,24.80%,48.18%,0.00%,12.48%,7.45,25.62
2023-01-11T21,14.83%,24.25%,49.01%,0.00%,11.92%,7.55,26.03
2023-01-11T22,14.52%,25.40%,48.46%,0.00%,11.62%,7.47,25.64
2023-01-11T23,13.90%,26.53%,47.25%,0.00%,12.31%,7.26,24.77
2023-01-12T00,13.22%,25.97%,45.07%,0.00%,15.73%,6.94,23.64
2023-01-12T01,13.05%,26.72%,44.54%,0.00%,15.69%,6.90,23.43
2023-01-12T02,13.33%,25.59%,45.33%,0.00%,15.75%,6.97,23.77
2023-01-12T03,13.75%,25.03%,46.80%,0.00%,14.42%,7.12,24.38
2023-01-12T04,14.57%,23.97%,49.57%,0.00%,11.89%,7.42,25.59
2023-01-12T05,15.32%,22.46%,52.28%,0.00%,9.95%,7.67,26.63
2023-01-12T06,16.28%,20.54%,55.49%,0.00%,7.69%,7.99,27.98
2023-01-12T07,16.86%,21.24%,57.20%,0.00%,4.71%,8.28,28.97
2023-01-12T08,17.39%,22.18%,59.24%,0.00%,1.19%,8.55,29.92
2023-01-12T09,17.66%,22.13%,60.10%,0.00%,0.11%,8.67,30.35
2023-01-12T10,17.57%,22.62%,60.00%,0.00%,-0.19%,8.65,30.25
2023-01-12T11,17.17%,24.24%,58.41%,0.00%,0.17%,8.56,29.77
2023-01-12T12,15.91%,27.29%,54.17%,0.00%,2.63%,8.16,28.05
2023-01-12T13,15.21%,25.50%,50.14%,0.00%,9.15%,7.77,26.76
2023-01-12T14,15.85%,22.67%,50.06%,0.00%,11.42%,7.91,27.50
2023-01-12T15,14.88%,21.59%,50.17%,0.00%,13.35%,7.44,25.86
2023-01-12T16,14.70%,20.19%,50.13%,0.00%,14.98%,7.30,25.43
2023-01-12T17,14.50%,20.57%,49.40%,0.00%,15.53%,7.23,25.15
2023-01-12T18,14.47%,20.56%,49.39%,0.00%,15.58%,7.22,25.10
2023-01-12T19,14.62%,21.92%,49.89%,0.00%,13.57%,7.35,25.46
2023-01-12T20,14.64%,21.41%,49.90%,0.00%,14.05%,7.33,25.44
2023-01-12T21,14.73%,21.21%,50.03%,0.00%,14.03%,7.36,25.58
2023-01-12T22,14.39%,20.99%,49.06%,0.00%,15.56%,7.20,25.01
2023-01-12T23,13.77%,22.14%,47.00%,0.00%,17.09%,6.99,24.13
2023-01-13T00,13.07%,22.86%,44.61%,0.00%,19.45%,6.73,23.09
2023-01-13T01,13.04%,22.09%,44.23%,0.00%,20.64%,6.67,22.96
2023-01-13T02,13.10%,21.80%,44.53%,0.00%,20.57%,6.69,23.03
2023-01-13T03,13.20%,21.47%,45.04%,0.00%,20.30%,6.71,23.16
2023-01-13T04,13.55%,21.15%,46.25%,0.00%,19.05%,6.85,23.69
2023-01-13T05,14.04%,20.65%,48.06%,0.00%,17.25%,7.04,24.42
2023-01-13T06,14.56%,21.22%,49.88%,0.00%,14.34%,7.29,25.30
2023-01-13T07,14.91%,21.91%,51.20%,0.00%,11.98%,7.47,25.93
2023-01-13T08,14.90%,22.28%,51.19%,0.00%,11.63%,7.48,25.95
2023-01-13T09,14.83%,24.15%,50.89%,0.00%,10.12%,7.55,26.03
2023-01-13T10,14.49%,26.39%,49.88%,0.00%,9.24%,7.50,25.69
2023-01-13T11,13.79%,29.13%,47.40%,0.00%,9.68%,7.33,24.84
2023-01-13T12,13.84%,29.08%,43.42%,0.00%,13.65%,7.36,24.93
2023-01-13T13,14.23%,27.25%,40.53%,0.00%,17.99%,7.43,25.36
2023-01-13T14,14.63%,26.57%,39.19%,0.00%,19.62%,7.57,25.94
