period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-09-26T09,15.18%,59.18%,11.00%,0.00%,14.64%,18.63,11.84
2023-09-26T10,16.25%,60.67%,11.03%,0.00%,12.05%,19.56,12.46
2023-09-26T11,17.20%,62.39%,10.84%,0.00%,9.57%,20.44,13.04
2023-09-26T12,19.99%,62.83%,10.35%,0.00%,6.83%,22.37,14.38
2023-09-26T13,21.37%,62.40%,10.22%,0.00%,6.01%,23.23,14.99
2023-09-26T14,18.70%,57.33%,9.92%,0.00%,14.06%,20.71,13.33
2023-09-26T15,15.32%,52.61%,9.28%,0.00%,22.79%,17.78,11.38
2023-09-26T16,15.60%,51.21%,8.75%,0.00%,24.45%,17.76,11.39
2023-09-26T17,17.77%,51.76%,8.16%,0.00%,22.31%,19.30,12.45
2023-09-26T18,17.94%,54.29%,7.70%,0.00%,20.07%,19.77,12.74
2023-09-26T19,17.33%,56.53%,7.36%,0.00%,18.78%,19.69,12.63
2023-09-26T20,16.66%,57.80%,7.08%,0.00%,18.46%,19.42,12.42
2023-09-26T21,16.64%,58.65%,6.90%,0.00%,17.80%,19.53,12.48
2023-09-26T22,16.78%,59.84%,6.85%,0.00%,16.53%,19.79,12.64
2023-09-26T23,16.45%,61.23%,6.91%,0.00%,15.41%,19.77,12.60
2023-09-27T00,17.56%,64.88%,7.18%,0.00%,10.38%,21.04,13.41
2023-09-27T01,18.04%,66.87%,7.49%,0.00%,7.61%,21.64,13.79
2023-09-27T02,18.09%,64.73%,7.69%,0.00%,9.49%,21.37,13.64
2023-09-27T03,18.19%,61.63%,8.06%,0.00%,12.11%,20.99,13.44
2023-09-27T04,18.66%,57.39%,8.60%,0.00%,15.35%,20.70,13.32
2023-09-27T05,17.56%,54.99%,9.23%,0.00%,18.22%,19.62,12.61
2023-09-27T06,15.66%,53.38%,9.84%,0.00%,21.12%,18.12,11.60
2023-09-27T07,12.77%,52.66%,10.30%,0.00%,24.27%,16.09,10.19
2023-09-27T08,12.14%,51.52%,10.68%,0.00%,25.65%,15.50,9.81
2023-09-27T09,12.49%,51.77%,10.91%,0.00%,24.82%,15.77,9.99
2023-09-27T10,12.91%,52.48%,10.94%,0.00%,23.68%,16.15,10.24
2023-09-27T11,13.58%,54.89%,10.56%,0.00%,20.96%,16.95,10.75
2023-09-27T12,14.40%,56.08%,10.17%,0.00%,19.35%,17.66,11.23
2023-09-27T13,14.98%,55.79%,10.11%,0.00%,19.12%,18.01,11.48
2023-09-27T14,13.62%,52.21%,9.79%,0.00%,24.38%,16.59,10.55
2023-09-27T15,12.72%,50.53%,9.16%,0.00%,27.58%,15.75,10.00
2023-09-27T16,14.33%,49.86%,8.57%,0.00%,27.24%,16.73,10.70
2023-09-27T17,15.72%,50.30%,8.03%,0.00%,25.96%,17.71,11.38
2023-09-27T18,16.93%,53.90%,7.52%,0.00%,21.66%,19.04,12.23
2023-09-27T19,16.70%,56.92%,7.19%,0.00%,19.19%,19.32,12.37
2023-09-27T20,16.42%,58.03%,7.00%,0.00%,18.54%,19.30,12.33
2023-09-27T21,16.33%,58.08%,6.86%,0.00%,18.73%,19.24,12.29
2023-09-27T22,16.12%,57.71%,6.85%,0.00%,19.32%,19.05,12.16
2023-09-27T23,16.22%,58.05%,6.97%,0.00%,18.75%,19.16,12.24
2023-09-28T00,16.61%,60.22%,7.26%,0.00%,15.91%,19.73,12.59
2023-09-28T01,16.85%,61.40%,7.54%,0.00%,14.20%,20.07,12.80
2023-09-28T02,17.25%,56.56%,7.80%,0.00%,18.39%,19.63,12.59
2023-09-28T03,17.06%,52.62%,8.17%,0.00%,22.15%,18.95,12.19
2023-09-28T04,16.00%,50.24%,8.66%,0.00%,25.10%,17.90,11.51
2023-09-28T05,14.88%,48.26%,9.26%,0.00%,27.59%,16.87,10.83
2023-09-28T06,13.91%,48.41%,9.89%,0.00%,27.78%,16.24,10.38
2023-09-28T07,12.49%,48.88%,10.36%,0.00%,28.28%,15.35,9.75
2023-09-28T08,11.54%,47.96%,10.71%,0.00%,29.78%,14.59,9.24
2023-09-28T09,11.62%,47.92%,10.93%,0.00%,29.53%,14.63,9.27
2023-09-28T10,11.68%,49.12%,10.96%,0.00%,28.24%,14.85,9.40
2023-09-28T11,11.87%,51.67%,10.64%,0.00%,25.81%,15.34,9.69
2023-09-28T12,12.40%,54.30%,10.19%,0.00%,23.11%,16.07,10.15
2023-09-28T13,13.86%,54.35%,10.06%,0.00%,21.74%,17.05,10.84
2023-09-28T14,12.61%,50.12%,9.83%,0.00%,27.45%,15.61,9.91
2023-09-28T15,11.75%,47.07%,9.10%,0.00%,32.08%,14.60,9.27
2023-09-28T16,13.14%,45.42%,8.46%,0.00%,32.98%,15.30,9.78
2023-09-28T17,13.80%,45.25%,7.90%,0.00%,33.05%,15.71,10.08
2023-09-28T18,14.63%,46.61%,7.42%,0.00%,31.33%,16.46,10.58
2023-09-28T19,14.74%,47.84%,7.03%,0.00%,30.40%,16.71,10.72
2023-09-28T20,14.77%,49.34%,6.78%,0.00%,29.10%,16.95,10.86
2023-09-28T21,15.04%,49.38%,6.65%,0.00%,28.93%,17.13,10.99
2023-09-28T22,14.62%,49.81%,6.58%,0.00%,28.98%,16.91,10.83
2023-09-28T23,14.51%,49.56%,6.66%,0.00%,29.27%,16.80,10.75
2023-09-29T00,15.43%,53.84%,6.96%,0.00%,23.78%,18.03,11.53
2023-09-29T01,16.21%,56.84%,7.26%,0.00%,19.70%,18.98,12.13
2023-09-29T02,15.99%,51.62%,7.45%,0.00%,24.93%,18.09,11.61
2023-09-29T03,16.02%,46.00%,7.74%,0.00%,30.24%,17.30,11.17
2023-09-29T04,14.55%,42.71%,8.22%,0.00%,34.52%,15.85,10.22
2023-09-29T05,13.76%,39.03%,8.79%,0.00%,38.41%,14.79,9.56
2023-09-29T06,12.34%,38.24%,9.37%,0.00%,40.05%,13.73,8.83
2023-09-29T07,11.23%,37.66%,9.81%,0.00%,41.30%,12.91,8.27
2023-09-29T08,10.99%,37.13%,10.21%,0.00%,41.68%,12.67,8.11
2023-09-29T09,10.91%,37.07%,10.47%,0.00%,41.55%,12.60,8.07
2023-09-29T10,10.97%,38.11%,10.55%,0.00%,40.38%,12.79,8.18
2023-09-29T11,11.08%,40.27%,10.33%,0.00%,38.32%,13.18,8.41
